,Date,ORCL,SQ,NVDA
565,2018-02-20,47.820145000000004,44.93,247.086029
566,2018-02-21,47.379222999999996,44.099998,239.57663
567,2018-02-22,47.532589,44.900002,240.36076400000002
568,2018-02-23,48.404839,44.860001000000004,244.112854
569,2018-02-26,49.047035,46.549999,244.75805699999998
570,2018-02-27,48.625285999999996,45.91,244.241898
571,2018-02-28,48.567776,46.049999,240.211884
572,2018-03-01,47.64761,46.009997999999996,230.49423199999998
573,2018-03-02,48.2323,46.02,234.79222099999998
574,2018-03-05,49.162056,50.419998,233.908829
575,2018-03-06,49.363341999999996,49.599998,240.370697
576,2018-03-07,49.574219,50.720001,240.05307000000002
577,2018-03-08,49.967216,52.25,239.397949
578,2018-03-09,50.772362,52.490002000000004,243.517273
579,2018-03-12,50.705265000000004,53.189999,247.914536
580,2018-03-13,50.398537,51.830002,245.8797
581,2018-03-14,50.149326,54.610001000000004,246.90208399999997
582,2018-03-15,50.19725,54.84,247.49765
583,2018-03-16,50.101402,54.889998999999996,248.629211
584,2018-03-19,49.794674,54.580002,239.219284
585,2018-03-20,45.097969,57.689999,247.735886
586,2018-03-21,45.069218,57.09,246.723419
587,2018-03-22,43.986095,55.16,240.062973
588,2018-03-23,42.931728,51.669998,231.248642
589,2018-03-26,44.551617,53.549999,242.673569
590,2018-03-27,43.497253,51.060001,223.85365299999998
591,2018-03-28,43.11385,47.389998999999996,219.714493
592,2018-03-29,43.85191,49.200001,229.87879900000001
593,2018-04-02,43.142609,47.68,219.41668700000002
594,2018-04-03,43.027584000000004,47.580002,223.684921
595,2018-04-04,43.621857,47.669998,224.568344
596,2018-04-05,44.053196,48.02,219.744263
597,2018-04-06,42.970078,45.869999,212.666946
598,2018-04-09,43.037167,45.889998999999996,213.818359
599,2018-04-10,43.919003000000004,47.799999,226.225983
600,2018-04-11,43.717709,47.759997999999996,224.568344
601,2018-04-12,43.976517,49.689999,232.86656200000002
602,2018-04-13,44.168209000000004,47.5,229.789444
603,2018-04-16,44.322205,47.029999,229.779556
604,2018-04-17,44.909328,49.130001,235.784821
605,2018-04-18,45.313572,51.380001,234.623505
606,2018-04-19,45.063320000000004,50.630001,227.347626
607,2018-04-20,44.495453000000005,51.459998999999996,227.020096
608,2018-04-23,44.081589,50.349998,222.2258
609,2018-04-24,43.821715999999995,46.009997999999996,219.56558199999998
610,2018-04-25,44.033466,44.75,215.059128
611,2018-04-26,44.235588,46.740002000000004,223.55587799999998
612,2018-04-27,43.821715999999995,47.57,224.6577
613,2018-04-30,43.956466999999996,47.34,223.238235
614,2018-05-01,44.225967,48.200001,225.46168500000002
615,2018-05-02,43.802464,48.66,224.637802
616,2018-05-03,43.369354,49.209998999999996,231.268463
617,2018-05-04,43.994972,49.099998,237.293625
618,2018-05-07,44.341460999999995,51.119999,246.84251400000002
619,2018-05-08,44.216339000000005,53.32,248.54982
620,2018-05-09,44.832321,54.259997999999996,253.89007599999997
621,2018-05-10,45.169197,54.650002,258.207916
622,2018-05-11,45.063320000000004,54.73,252.649307
623,2018-05-14,45.063320000000004,54.279999,253.473175
624,2018-05-15,45.053699,54.650002,243.74559
625,2018-05-16,44.976696000000004,56.59,244.19226099999997
626,2018-05-17,44.793834999999994,54.82,245.8797
627,2018-05-18,44.582077000000005,55.040001000000004,244.12278700000002
628,2018-05-21,45.438686,56.389998999999996,242.43534900000003
629,2018-05-22,44.630203,54.630001,240.906708
630,2018-05-23,45.140324,55.09,245.8629
631,2018-05-24,44.716827,55.549999,246.011887
632,2018-05-25,45.236568,55.77,247.59111000000001
633,2018-05-29,44.52433,56.919998,246.905792
634,2018-05-30,45.284695,57.91,251.27601600000003
635,2018-05-31,44.967075,58.25,250.4814
636,2018-06-01,45.573437,59.41,255.87460299999998
637,2018-06-04,45.544567,61.200001,263.055634
638,2018-06-05,45.361686999999996,61.57,263.27417
639,2018-06-06,45.958424,62.720001,263.353607
640,2018-06-07,45.891052,60.669998,261.118835
641,2018-06-08,46.372295,61.779999,260.503021
642,2018-06-11,46.381912,61.290001000000004,258.854248
643,2018-06-12,46.632164,63.209998999999996,260.800995
644,2018-06-13,46.458915999999995,62.5,260.622284
645,2018-06-14,44.177834000000004,63.880001,265.101715
646,2018-06-15,44.543587,64.480003,263.46286000000003
647,2018-06-18,44.774582,66.199997,263.293976
648,2018-06-19,44.533958,65.959999,258.407349
649,2018-06-20,41.213398,67.589996,260.53283700000003
650,2018-06-21,41.482890999999995,67.099998,255.368073
651,2018-06-22,42.445374,65.75,249.249786
652,2018-06-25,42.618618,61.889998999999996,237.499969
653,2018-06-26,42.743744,62.549999,240.350525
654,2018-06-27,41.819763,60.09,234.122971
655,2018-06-28,42.195133,61.549999,239.22817999999998
656,2018-06-29,42.406876000000004,61.639998999999996,235.294983
657,2018-07-02,43.263493,63.139998999999996,240.59880099999998
658,2018-07-03,43.04211,61.75,235.235413
659,2018-07-05,43.706219,64.150002,241.085495
660,2018-07-06,44.274094,66.440002,245.654327
661,2018-07-09,44.976696000000004,66.480003,247.561325
662,2018-07-10,45.226944,64.760002,251.53421
663,2018-07-11,45.852558,65.33000200000001,245.85299700000002
664,2018-07-12,46.343418,67.279999,249.527893
665,2018-07-13,46.805408,66.970001,247.630859
666,2018-07-16,46.824734,66.949997,246.51843300000002
667,2018-07-17,47.249889,68.33000200000001,251.971237
668,2018-07-18,46.998657,68.290001,249.99470499999998
669,2018-07-19,46.805408,70.32,250.32247900000002
670,2018-07-20,46.882709999999996,70.410004,249.19021600000002
671,2018-07-23,47.027645,71.599998,247.72023
672,2018-07-24,47.027645,69.360001,247.024994
673,2018-07-25,47.298199,72.529999,250.163589
674,2018-07-26,47.220898,71.989998,253.11344900000003
675,2018-07-27,46.988995,69.849998,250.31257599999998
676,2018-07-30,46.119372999999996,65.620003,242.476013
677,2018-07-31,46.071049,64.650002,243.201065
678,2018-08-01,45.75219,66.860001,244.80015600000002
679,2018-08-02,46.28363,72.650002,248.92201200000002
680,2018-08-03,46.834396000000005,68.360001,250.39201400000002
681,2018-08-06,47.027645,70.91999799999999,252.30894500000002
682,2018-08-07,46.844059,71.0,255.20916699999998
683,2018-08-08,46.757095,70.82,256.66925
684,2018-08-09,46.902031,69.379997,254.722488
685,2018-08-10,46.689461,70.599998,253.06376600000002
686,2018-08-13,46.389915,72.370003,254.384781
687,2018-08-14,46.602493,74.970001,259.658783
688,2018-08-15,46.225654999999996,72.239998,257.32473799999997
689,2018-08-16,46.476879,72.760002,255.695801
