Date,VZ,MCD,Close,CLX,COST,PSX,BLK,TROW,JNJ,UNH,MMM,UPS,ACN,PPG,AMT,NEE
1/24/2018 16:00:00,54.22,155.48,60.83,142.25,194.24,104.63,587.67,117.71,142.07,244.85,247.69,131.69,160.6,118.94,141.76,150.85
1/25/2018 16:00:00,54.29,151.31,60.55,146.13,197.95,104.17,575.5,117.35,144.4,245.18,252.36,131.29,160.79,120.21,142.96,153.09
1/26/2018 16:00:00,54.72,151.42,57.99,142.64,198.91,106.59,586.8,119.99,145.33,248.47,258.63,132.72,162.55,121.47,145.13,157.69
1/29/2018 16:00:00,54.13,152.24,57.02,140.96,198.32,104.25,574.42,117.55,143.68,247.41,256.01,130.64,161.19,119.57,144.33,155.68
1/30/2018 16:00:00,53.9,153.23,57.19,141.76,197.91,102.28,562.29,112.51,142.43,236.65,251.54,128.11,159.7,118.35,145.15,155.1
1/31/2018 16:00:00,54.07,152.16,56.81,141.69,194.87,102.4,561.8,111.63,138.19,236.78,250.5,127.32,160.7,118.73,147.7,158.42
2/1/2018 16:00:00,54.3,153.4,56,140.33,193.47,100.86,565.19,112.16,140.02,235.22,247.94,119.51,160.46,117.62,147.06,156.34
2/2/2018 16:00:00,52.98,154.01,55.77,130.91,190.99,97.01,548.32,109.89,137.68,231.88,245.17,116.47,156.9,115.61,145.22,155.92
2/5/2018 16:00:00,50.5,152.69,54.69,127,182.77,95.21,524.97,105.25,130.39,220.02,231.44,113.3,151.83,111.98,142.04,154.29
2/6/2018 16:00:00,50.83,152.05,55.61,130.63,185.01,96.88,535.22,106.97,131.83,225.18,233.63,112.71,154.69,113.96,140.17,149.56
2/7/2018 16:00:00,51.01,152.23,54.46,127.82,183.19,95.61,532.26,106.52,131.42,225.82,233.19,111.91,155.15,114.13,140,148.09
2/8/2018 16:00:00,49.04,151.18,53.77,127.76,178.61,92.44,509.38,101.99,126.36,216.46,222.89,109.28,150.51,110.3,133.57,145.29
2/9/2018 16:00:00,49.88,150.6,54.58,128.8,180.72,92.6,521.51,103.41,129.53,220.96,225.21,106.39,153.84,112.37,136.05,148.1
2/12/2018 16:00:00,50.11,152.59,55.38,127.95,181.06,93.59,525.38,104.93,130.27,225.69,229.19,106.31,154.95,113.98,136.23,150
2/13/2018 16:00:00,50.08,153.29,55.67,128.53,184.15,93.76,521.27,105.73,129.96,226.64,231.36,107.56,156.84,114.56,136.31,151.07
2/14/2018 16:00:00,49.51,152.88,55.99,128.8,187.35,93.33,539.94,108.32,129.67,228.78,232,106.6,159.79,116.32,135.48,150.08
2/15/2018 16:00:00,49.74,153.89,56.58,131.03,191.48,92.77,540.65,109.56,131.23,226.02,234.87,108.31,161.06,116.19,136.22,154.43
2/16/2018 16:00:00,50.15,152.17,56.48,131.7,191.56,91.99,541.1,110.49,133.15,229.37,236.67,106.4,162.66,116.16,140.02,156.05
2/20/2018 16:00:00,48.92,153.3,55.97,128.78,188.12,90.99,542.6,109.91,130.87,226.66,235.07,104.71,161.44,115.4,139.24,153.81
2/21/2018 16:00:00,47.96,147.03,56.1,126.29,185.75,89.58,543.56,109.95,129.91,225.13,232.18,104.7,160.46,115.62,137.44,151.76
